Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
MUC16,SNV,input,0.85501844,Common Pathway of Fibrin Clot Formation,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,Mitochondrial protein degradation,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,Unwinding of DNA,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,G0 and Early G1,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,Synthesis of glycosylphosphatidylinositol (GPI),SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,Phase 0 - rapid depolarisation,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,AKT phosphorylates targets in the cytosol,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,Protein repair,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,NOTCH2 intracellular domain regulates transcription,SNV,layer_1,0.85501844
TTN,SNV,input,0.8526961,AKT phosphorylates targets in the cytosol,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,Mitochondrial protein degradation,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,Unwinding of DNA,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,NOTCH2 intracellular domain regulates transcription,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,Protein repair,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,Synthesis of glycosylphosphatidylinositol (GPI),SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,G0 and Early G1,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,Phase 0 - rapid depolarisation,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,Common Pathway of Fibrin Clot Formation,SNV,layer_1,0.8526961
MYD88,SNV,input,0.84696454,Synthesis of glycosylphosphatidylinositol (GPI),SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,G0 and Early G1,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,NOTCH2 intracellular domain regulates transcription,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,Phase 0 - rapid depolarisation,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,Protein repair,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,Mitochondrial protein degradation,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,AKT phosphorylates targets in the cytosol,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,Common Pathway of Fibrin Clot Formation,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,Unwinding of DNA,SNV,layer_1,0.84696454
SYNE1,SNV,input,0.8421981,Phase 0 - rapid depolarisation,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,Unwinding of DNA,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,Common Pathway of Fibrin Clot Formation,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,Synthesis of glycosylphosphatidylinositol (GPI),SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,G0 and Early G1,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,Protein repair,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,Mitochondrial protein degradation,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,NOTCH2 intracellular domain regulates transcription,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,AKT phosphorylates targets in the cytosol,SNV,layer_1,0.8421981
RYR2,SNV,input,0.8389722,Phase 0 - rapid depolarisation,SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,AKT phosphorylates targets in the cytosol,SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,Unwinding of DNA,SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,NOTCH2 intracellular domain regulates transcription,SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,Synthesis of glycosylphosphatidylinositol (GPI),SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,G0 and Early G1,SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,Protein repair,SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,Mitochondrial protein degradation,SNV,layer_1,0.8389722
RYR2,SNV,input,0.8389722,Common Pathway of Fibrin Clot Formation,SNV,layer_1,0.8389722
TP53,SNV,input,0.7582868,Phase 0 - rapid depolarisation,SNV,layer_1,0.7582868
TP53,SNV,input,0.7582868,G0 and Early G1,SNV,layer_1,0.7582868
TP53,SNV,input,0.7582868,Synthesis of glycosylphosphatidylinositol (GPI),SNV,layer_1,0.7582868
