Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
SDK interactions,CNV,layer_1,6.277917,HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,Signaling by PDGF,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,Signaling by VEGF,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,Fcgamma receptor (FCGR) dependent phagocytosis,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,6.277917
Signaling by PDGF,CNV,layer_2,2.1119068,Peroxisomal protein import,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Invadopodia formation,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Response to metal ions,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,DNA Damage Reversal,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Nucleotide Excision Repair,CNV,layer_3,2.1119068
Melanin biosynthesis,mrna,layer_1,1.760116,Replacement of protamines by nucleosomes in the male pronucleus,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,ESR-mediated signaling,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Nephron development,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Activation of anterior HOX genes in hindbrain development during early embryogenesis,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Metabolism of fat-soluble vitamins,mrna,layer_2,1.760116
Protein repair,CNV,layer_1,1.6238905,Fcgamma receptor (FCGR) dependent phagocytosis,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,Signaling by VEGF,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,Signaling by PDGF,CNV,layer_2,1.6238905
