Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Melanin biosynthesis,mrna,layer_1,1.760116,Metabolism of fat-soluble vitamins,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Eukaryotic Translation Elongation,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Activation of anterior HOX genes in hindbrain development during early embryogenesis,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Replacement of protamines by nucleosomes in the male pronucleus,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Sphingolipid metabolism,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Transcriptional regulation of white adipocyte differentiation,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Nephron development,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,ESR-mediated signaling,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,Formation of paraxial mesoderm,mrna,layer_2,1.760116
Melanin biosynthesis,mrna,layer_1,1.760116,TYSND1 cleaves peroxisomal proteins,mrna,layer_2,1.760116
Generation of second messenger molecules,mrna,layer_1,1.2283707,Eukaryotic Translation Elongation,mrna,layer_2,1.2283707
Generation of second messenger molecules,mrna,layer_1,1.2283707,Metabolism of fat-soluble vitamins,mrna,layer_2,1.2283707
Generation of second messenger molecules,mrna,layer_1,1.2283707,ESR-mediated signaling,mrna,layer_2,1.2283707
Generation of second messenger molecules,mrna,layer_1,1.2283707,Nephron development,mrna,layer_2,1.2283707
Generation of second messenger molecules,mrna,layer_1,1.2283707,TYSND1 cleaves peroxisomal proteins,mrna,layer_2,1.2283707
Generation of second messenger molecules,mrna,layer_1,1.2283707,Formation of paraxial mesoderm,mrna,layer_2,1.2283707
Generation of second messenger molecules,mrna,layer_1,1.2283707,Transcriptional regulation of white adipocyte differentiation,mrna,layer_2,1.2283707
Generation of second messenger molecules,mrna,layer_1,1.2283707,Sphingolipid metabolism,mrna,layer_2,1.2283707
Generation of second messenger molecules,mrna,layer_1,1.2283707,Activation of anterior HOX genes in hindbrain development during early embryogenesis,mrna,layer_2,1.2283707
