id,name,layer,omics,importance
CNV_layer_1_32,R-HSA-5676934,layer_1,CNV,3.3116498
CNV_layer_1_254,R-HSA-9707616,layer_1,CNV,2.550514
CNV_layer_1_11,R-HSA-162699,layer_1,CNV,2.4231083
CNV_layer_1_507,R-HSA-9018519,layer_1,CNV,2.4121141
CNV_layer_2_18,R-HSA-450513,layer_2,CNV,1.5934303
CNV_layer_3_7,R-HSA-8941237,layer_3,CNV,1.5381664
CNV_layer_1_610,R-HSA-373756,layer_1,CNV,1.5257174
CNV_layer_4_0,R-HSA-109582,layer_4,CNV,1.396658
CNV_layer_1_525,R-HSA-5578749,layer_1,CNV,1.3203226
CNV_layer_2_210,R-HSA-983169,layer_2,CNV,1.2434442
CNV_layer_3_109,R-HSA-9603798,layer_3,CNV,1.2227539
CNV_layer_1_26,R-HSA-9832991,layer_1,CNV,1.1659741
CNV_layer_3_80,R-HSA-5682910,layer_3,CNV,1.1171663
CNV_layer_2_9,R-HSA-9834899,layer_2,CNV,1.0660768
CNV_layer_2_17,R-HSA-450385,layer_2,CNV,1.0044355
CNV_input_5609,OCLN,input,CNV,0.90467757
CNV_input_8043,SMN1,input,CNV,0.90467757
CNV_input_3316,GTF2H2,input,CNV,0.90467757
CNV_input_1183,CDC25A,input,CNV,0.8951812
CNV_input_9266,UTP15,input,CNV,0.88464177
CNV_layer_1_4,R-HSA-9034015,layer_1,CNV,0.88304275
CNV_input_515,ARHGEF28,input,CNV,0.878809
CNV_input_7387,RPS23,input,CNV,0.8786087
CNV_layer_2_303,R-HSA-8849175,layer_2,CNV,0.8493982
CNV_input_4658,MCCC2,input,CNV,0.8450273
CNV_input_5058,MTNR1A,input,CNV,0.83716786
CNV_input_7508,SCAMP1,input,CNV,0.83051044
CNV_layer_2_15,R-HSA-9748787,layer_2,CNV,0.81691855
CNV_layer_1_13,R-HSA-162791,layer_1,CNV,0.8022617
CNV_layer_1_16,R-HSA-381042,layer_1,CNV,0.7913885
CNV_layer_2_205,R-HSA-202403,layer_2,CNV,0.75160366
CNV_layer_4_15,R-HSA-400253,layer_4,CNV,0.7045401
CNV_layer_3_1,R-HSA-1474290,layer_3,CNV,0.6706505
CNV_layer_2_1,R-HSA-9843743,layer_2,CNV,0.58682907
CNV_layer_3_5,R-HSA-3000157,layer_3,CNV,0.54454464
CNV_layer_4_20,R-HSA-73894,layer_4,CNV,0.5413296
CNV_layer_2_298,R-HSA-70895,layer_2,CNV,0.45749784
CNV_layer_2_146,R-HSA-112310,layer_2,CNV,0.3932484
CNV_layer_3_108,R-HSA-9033241,layer_3,CNV,0.22344375
CNV_layer_3_62,R-HSA-112307,layer_3,CNV,0.18448462
CNV_layer_3_19,R-HSA-9836573,layer_3,CNV,0.101683445
CNV_layer_3_9,R-HSA-5617833,layer_3,CNV,0.09288944
CNV_layer_3_96,R-HSA-5576891,layer_3,CNV,0.082478896
CNV_layer_4_18,R-HSA-5653656,layer_4,CNV,0.031981178
CNV_layer_4_2,R-HSA-1266738,layer_4,CNV,0.022341141
CNV_layer_4_27,R-HSA-9709957,layer_4,CNV,0.016561983
CNV_layer_4_5,R-HSA-1474244,layer_4,CNV,0.011483251
CNV_layer_4_13,R-HSA-392499,layer_4,CNV,0.0018889641
CNV_layer_4_26,R-HSA-9612973,layer_4,CNV,0.0016675055
CNV_layer_4_11,R-HSA-1852241,layer_4,CNV,0.000777116
