Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-8849175,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-9748787,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-9843743,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-202403,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-450513,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-983169,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-112310,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-70895,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-450385,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-9834899,CNV,layer_2,3.3116498
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-8849175,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-9748787,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-9843743,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-202403,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-70895,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-112310,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-450513,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-983169,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-450385,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-9834899,CNV,layer_2,2.550514
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-450385,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-9834899,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-983169,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-450513,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-9748787,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-8849175,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-9843743,CNV,layer_2,2.4231083
