id,name,layer,omics,importance
SNV_layer_1_32,R-HSA-5676934,layer_1,SNV,7.898846
SNV_layer_2_19,R-HSA-5676934,layer_2,SNV,7.472781
SNV_layer_2_102,R-HSA-9819196,layer_2,SNV,2.041478
SNV_layer_1_180,R-HSA-375165,layer_1,SNV,1.9070525
SNV_layer_3_39,R-HSA-202131,layer_3,SNV,1.9016198
SNV_layer_3_27,R-HSA-418346,layer_3,SNV,1.1834747
SNV_layer_1_114,R-HSA-9851151,layer_1,SNV,1.1485258
SNV_layer_4_7,R-HSA-162582,layer_4,SNV,1.1260366
SNV_input_3337,HSPA5,input,SNV,1.0661184
SNV_layer_1_112,R-HSA-163765,layer_1,SNV,1.0613879
SNV_layer_1_185,R-HSA-140875,layer_1,SNV,1.0519735
SNV_layer_1_115,R-HSA-9603798,layer_1,SNV,1.0056021
SNV_layer_1_21,R-HSA-975634,layer_1,SNV,0.91765904
SNV_layer_1_182,R-HSA-8853659,layer_1,SNV,0.85357684
SNV_layer_2_68,R-HSA-163680,layer_2,SNV,0.8264431
SNV_input_8329,TTN,input,SNV,0.8250226
SNV_input_4736,MUC16,input,SNV,0.80891997
SNV_layer_2_69,R-HSA-163765,layer_2,SNV,0.8020207
SNV_input_6905,RYR2,input,SNV,0.79244906
SNV_layer_1_183,R-HSA-8866376,layer_1,SNV,0.787492
SNV_input_7771,SYNE1,input,SNV,0.7708104
SNV_layer_1_600,R-HSA-176974,layer_1,SNV,0.76529324
SNV_layer_2_104,R-HSA-9821002,layer_2,SNV,0.76343024
SNV_layer_2_203,R-HSA-392517,layer_2,SNV,0.74124694
SNV_input_3237,HMGB2,input,SNV,0.73757523
SNV_input_8319,TTLL12,input,SNV,0.73757523
SNV_input_7634,SSTR2,input,SNV,0.6871416
SNV_input_8147,TP53,input,SNV,0.6809912
SNV_layer_4_5,R-HSA-1474244,layer_4,SNV,0.66931385
SNV_input_1713,CYP2A6,input,SNV,0.66828144
SNV_layer_2_214,R-HSA-194315,layer_2,SNV,0.66118973
SNV_layer_3_79,R-HSA-5619507,layer_3,SNV,0.542905
SNV_layer_3_82,R-HSA-9616222,layer_3,SNV,0.4716169
SNV_layer_2_70,R-HSA-422356,layer_2,SNV,0.37920183
SNV_layer_2_95,R-HSA-8852135,layer_2,SNV,0.36312467
SNV_layer_2_89,R-HSA-163125,layer_2,SNV,0.334027
SNV_layer_3_38,R-HSA-196854,layer_3,SNV,0.303492
SNV_layer_3_33,R-HSA-1475029,layer_3,SNV,0.19175602
SNV_layer_3_117,R-HSA-5696398,layer_3,SNV,0.17704354
SNV_layer_3_108,R-HSA-9033241,layer_3,SNV,0.13624287
SNV_layer_4_1,R-HSA-112316,layer_4,SNV,0.12360586
SNV_layer_3_111,R-HSA-69002,layer_3,SNV,0.113371484
SNV_layer_3_18,R-HSA-927802,layer_3,SNV,0.11107448
SNV_layer_4_13,R-HSA-392499,layer_4,SNV,0.071413465
SNV_layer_4_14,R-HSA-397014,layer_4,SNV,0.06578775
SNV_layer_4_12,R-HSA-382551,layer_4,SNV,0.064364344
SNV_layer_4_22,R-HSA-8953854,layer_4,SNV,0.049376786
SNV_layer_4_24,R-HSA-8963743,layer_4,SNV,0.04727548
SNV_layer_4_11,R-HSA-1852241,layer_4,SNV,0.043601565
SNV_layer_4_8,R-HSA-1640170,layer_4,SNV,0.02658725
