Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-9819196,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-5676934,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-163765,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-163680,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-422356,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-194315,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-392517,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-9821002,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-8852135,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-163125,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-1475029,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-196854,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-5696398,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-9033241,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-69002,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-927802,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-5619507,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-9616222,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-202131,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-418346,SNV,layer_3,7.472781
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-9616222,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-5619507,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-418346,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-202131,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-1475029,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-196854,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-5696398,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-9033241,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-69002,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-927802,SNV,layer_3,2.041478
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-9819196,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-5676934,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-163125,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-8852135,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-163680,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-163765,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-9821002,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-392517,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-194315,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-422356,SNV,layer_2,1.9070525
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-1852241,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-1640170,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-392499,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-112316,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-397014,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-382551,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-8963743,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-8953854,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-162582,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-1474244,SNV,layer_4,1.9016198
R-HSA-418346,SNV,layer_3,1.1834747,R-HSA-8963743,SNV,layer_4,1.1834747
R-HSA-418346,SNV,layer_3,1.1834747,R-HSA-8953854,SNV,layer_4,1.1834747
R-HSA-418346,SNV,layer_3,1.1834747,R-HSA-382551,SNV,layer_4,1.1834747
