id,name,layer,omics,importance
SNV_layer_1_32,R-HSA-5676934,layer_1,SNV,7.898846
SNV_layer_2_19,R-HSA-5676934,layer_2,SNV,7.472781
mrna_layer_1_11,R-HSA-162699,layer_1,mrna,3.3368754
CNV_layer_1_32,R-HSA-5676934,layer_1,CNV,3.3116498
CNV_layer_1_254,R-HSA-9707616,layer_1,CNV,2.550514
CNV_layer_1_11,R-HSA-162699,layer_1,CNV,2.4231083
CNV_layer_1_507,R-HSA-9018519,layer_1,CNV,2.4121141
mrna_layer_2_132,R-HSA-2892247,layer_2,mrna,2.3676603
mrna_layer_1_116,R-HSA-9603798,layer_1,mrna,2.1277492
SNV_layer_2_102,R-HSA-9819196,layer_2,SNV,2.041478
SNV_layer_1_180,R-HSA-375165,layer_1,SNV,1.9070525
SNV_layer_3_39,R-HSA-202131,layer_3,SNV,1.9016198
CNV_layer_2_18,R-HSA-450513,layer_2,CNV,1.5934303
mrna_layer_3_51,R-HSA-8949215,layer_3,mrna,1.575412
CNV_layer_3_7,R-HSA-8941237,layer_3,CNV,1.5381664
CNV_layer_1_610,R-HSA-373756,layer_1,CNV,1.5257174
mrna_layer_1_230,R-HSA-198323,layer_1,mrna,1.4342505
CNV_layer_4_0,R-HSA-109582,layer_4,CNV,1.396658
mrna_layer_2_7,R-HSA-9832991,layer_2,mrna,1.3774551
mrna_layer_2_70,R-HSA-163765,layer_2,mrna,1.3654375
mrna_layer_1_409,R-HSA-1855183,layer_1,mrna,1.2809865
CNV_layer_2_210,R-HSA-983169,layer_2,CNV,1.2434442
CNV_layer_3_109,R-HSA-9603798,layer_3,CNV,1.2227539
SNV_layer_3_27,R-HSA-418346,layer_3,SNV,1.1834747
mrna_layer_1_59,R-HSA-622312,layer_1,mrna,1.1818775
SNV_layer_1_114,R-HSA-9851151,layer_1,SNV,1.1485258
SNV_layer_4_7,R-HSA-162582,layer_4,SNV,1.1260366
CNV_layer_3_80,R-HSA-5682910,layer_3,CNV,1.1171663
mrna_layer_2_231,R-HSA-8853383,layer_2,mrna,1.1038301
SNV_input_3337,HSPA5,input,SNV,1.0661184
CNV_layer_2_9,R-HSA-9834899,layer_2,CNV,1.0660768
SNV_layer_1_112,R-HSA-163765,layer_1,SNV,1.0613879
SNV_layer_1_185,R-HSA-140875,layer_1,SNV,1.0519735
CNV_layer_2_17,R-HSA-450385,layer_2,CNV,1.0044355
mrna_layer_4_8,R-HSA-1640170,layer_4,mrna,1.0024203
CNV_input_3316,GTF2H2,input,CNV,0.90467757
CNV_input_8043,SMN1,input,CNV,0.90467757
CNV_input_5609,OCLN,input,CNV,0.90467757
mrna_input_8774,TALDO1,input,mrna,0.8955433
CNV_input_1183,CDC25A,input,CNV,0.8951812
CNV_input_9266,UTP15,input,CNV,0.88464177
mrna_input_973,CA12,input,mrna,0.8830236
mrna_input_4475,KRT78,input,mrna,0.87917686
mrna_input_3622,HIC1,input,mrna,0.8744218
mrna_input_265,AKR1C1,input,mrna,0.8739628
CNV_layer_2_303,R-HSA-8849175,layer_2,CNV,0.8493982
mrna_layer_2_125,R-HSA-5610787,layer_2,mrna,0.84003025
SNV_layer_2_68,R-HSA-163680,layer_2,SNV,0.8264431
SNV_input_8329,TTN,input,SNV,0.8250226
SNV_input_4736,MUC16,input,SNV,0.80891997
SNV_layer_2_69,R-HSA-163765,layer_2,SNV,0.8020207
SNV_input_6905,RYR2,input,SNV,0.79244906
SNV_input_7771,SYNE1,input,SNV,0.7708104
SNV_layer_2_104,R-HSA-9821002,layer_2,SNV,0.76343024
CNV_layer_4_15,R-HSA-400253,layer_4,CNV,0.7045401
mrna_layer_3_87,R-HSA-9758941,layer_3,mrna,0.69819427
CNV_layer_3_1,R-HSA-1474290,layer_3,CNV,0.6706505
mrna_layer_3_79,R-HSA-5619507,layer_3,mrna,0.670486
SNV_layer_4_5,R-HSA-1474244,layer_4,SNV,0.66931385
mrna_layer_3_17,R-HSA-75072,layer_3,mrna,0.6230577
mrna_layer_3_80,R-HSA-5682910,layer_3,mrna,0.62016845
CNV_layer_3_5,R-HSA-3000157,layer_3,CNV,0.54454464
SNV_layer_3_79,R-HSA-5619507,layer_3,SNV,0.542905
CNV_layer_4_20,R-HSA-73894,layer_4,CNV,0.5413296
SNV_layer_3_82,R-HSA-9616222,layer_3,SNV,0.4716169
SNV_layer_3_38,R-HSA-196854,layer_3,SNV,0.303492
SNV_layer_4_1,R-HSA-112316,layer_4,SNV,0.12360586
mrna_layer_4_18,R-HSA-5653656,layer_4,mrna,0.09149903
SNV_layer_4_13,R-HSA-392499,layer_4,SNV,0.071413465
mrna_layer_4_17,R-HSA-5357801,layer_4,mrna,0.06719565
SNV_layer_4_14,R-HSA-397014,layer_4,SNV,0.06578775
mrna_layer_4_6,R-HSA-1500931,layer_4,mrna,0.042812493
CNV_layer_4_18,R-HSA-5653656,layer_4,CNV,0.031981178
CNV_layer_4_2,R-HSA-1266738,layer_4,CNV,0.022341141
mrna_layer_4_24,R-HSA-8963743,layer_4,mrna,0.019625762
