Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-5676934,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-163680,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-163765,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-9821002,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_1,7.898846,R-HSA-9819196,SNV,layer_2,7.898846
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-202131,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-418346,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-5619507,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-9616222,SNV,layer_3,7.472781
R-HSA-5676934,SNV,layer_2,7.472781,R-HSA-196854,SNV,layer_3,7.472781
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-2892247,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-8853383,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-9832991,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-163765,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-5610787,mrna,layer_2,3.3368754
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-8849175,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-9834899,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-983169,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-450385,CNV,layer_2,3.3116498
R-HSA-5676934,CNV,layer_1,3.3116498,R-HSA-450513,CNV,layer_2,3.3116498
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-8849175,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-450513,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-9834899,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-983169,CNV,layer_2,2.550514
R-HSA-9707616,CNV,layer_1,2.550514,R-HSA-450385,CNV,layer_2,2.550514
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-450385,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-450513,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-983169,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-9834899,CNV,layer_2,2.4231083
R-HSA-162699,CNV,layer_1,2.4231083,R-HSA-8849175,CNV,layer_2,2.4231083
R-HSA-9018519,CNV,layer_1,2.4121141,R-HSA-983169,CNV,layer_2,2.4121141
R-HSA-9018519,CNV,layer_1,2.4121141,R-HSA-9834899,CNV,layer_2,2.4121141
R-HSA-9018519,CNV,layer_1,2.4121141,R-HSA-8849175,CNV,layer_2,2.4121141
R-HSA-9018519,CNV,layer_1,2.4121141,R-HSA-450385,CNV,layer_2,2.4121141
R-HSA-9018519,CNV,layer_1,2.4121141,R-HSA-450513,CNV,layer_2,2.4121141
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-5682910,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-8949215,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-9758941,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-5619507,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-75072,mrna,layer_3,2.3676603
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-9832991,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-5610787,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-8853383,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-2892247,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-163765,mrna,layer_2,2.1277492
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-202131,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-9616222,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-418346,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-196854,SNV,layer_3,2.041478
R-HSA-9819196,SNV,layer_2,2.041478,R-HSA-5619507,SNV,layer_3,2.041478
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-9819196,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-5676934,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-163680,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-9821002,SNV,layer_2,1.9070525
R-HSA-375165,SNV,layer_1,1.9070525,R-HSA-163765,SNV,layer_2,1.9070525
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-392499,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-397014,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-112316,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-1474244,SNV,layer_4,1.9016198
R-HSA-202131,SNV,layer_3,1.9016198,R-HSA-162582,SNV,layer_4,1.9016198
R-HSA-450513,CNV,layer_2,1.5934303,R-HSA-1474290,CNV,layer_3,1.5934303
R-HSA-450513,CNV,layer_2,1.5934303,R-HSA-3000157,CNV,layer_3,1.5934303
R-HSA-450513,CNV,layer_2,1.5934303,R-HSA-8941237,CNV,layer_3,1.5934303
R-HSA-450513,CNV,layer_2,1.5934303,R-HSA-5682910,CNV,layer_3,1.5934303
R-HSA-450513,CNV,layer_2,1.5934303,R-HSA-9603798,CNV,layer_3,1.5934303
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-1500931,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-1640170,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-5653656,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-5357801,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-8963743,mrna,layer_4,1.575412
R-HSA-8941237,CNV,layer_3,1.5381664,R-HSA-5653656,CNV,layer_4,1.5381664
R-HSA-8941237,CNV,layer_3,1.5381664,R-HSA-109582,CNV,layer_4,1.5381664
R-HSA-8941237,CNV,layer_3,1.5381664,R-HSA-1266738,CNV,layer_4,1.5381664
R-HSA-8941237,CNV,layer_3,1.5381664,R-HSA-400253,CNV,layer_4,1.5381664
R-HSA-8941237,CNV,layer_3,1.5381664,R-HSA-73894,CNV,layer_4,1.5381664
R-HSA-373756,CNV,layer_1,1.5257174,R-HSA-9834899,CNV,layer_2,1.5257174
R-HSA-373756,CNV,layer_1,1.5257174,R-HSA-983169,CNV,layer_2,1.5257174
R-HSA-373756,CNV,layer_1,1.5257174,R-HSA-450513,CNV,layer_2,1.5257174
R-HSA-373756,CNV,layer_1,1.5257174,R-HSA-8849175,CNV,layer_2,1.5257174
R-HSA-373756,CNV,layer_1,1.5257174,R-HSA-450385,CNV,layer_2,1.5257174
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-5610787,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-8853383,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-163765,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-2892247,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-9832991,mrna,layer_2,1.4342505
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-9758941,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-8949215,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-5682910,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-5619507,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-75072,mrna,layer_3,1.3774551
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-5619507,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-5682910,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-75072,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-9758941,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-8949215,mrna,layer_3,1.3654375
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-5610787,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-2892247,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-8853383,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-163765,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-9832991,mrna,layer_2,1.2809865
R-HSA-983169,CNV,layer_2,1.2434442,R-HSA-1474290,CNV,layer_3,1.2434442
R-HSA-983169,CNV,layer_2,1.2434442,R-HSA-3000157,CNV,layer_3,1.2434442
R-HSA-983169,CNV,layer_2,1.2434442,R-HSA-9603798,CNV,layer_3,1.2434442
R-HSA-983169,CNV,layer_2,1.2434442,R-HSA-8941237,CNV,layer_3,1.2434442
R-HSA-983169,CNV,layer_2,1.2434442,R-HSA-5682910,CNV,layer_3,1.2434442
R-HSA-9603798,CNV,layer_3,1.2227539,R-HSA-5653656,CNV,layer_4,1.2227539
R-HSA-9603798,CNV,layer_3,1.2227539,R-HSA-1266738,CNV,layer_4,1.2227539
R-HSA-9603798,CNV,layer_3,1.2227539,R-HSA-73894,CNV,layer_4,1.2227539
R-HSA-9603798,CNV,layer_3,1.2227539,R-HSA-109582,CNV,layer_4,1.2227539
R-HSA-9603798,CNV,layer_3,1.2227539,R-HSA-400253,CNV,layer_4,1.2227539
R-HSA-418346,SNV,layer_3,1.1834747,R-HSA-397014,SNV,layer_4,1.1834747
R-HSA-418346,SNV,layer_3,1.1834747,R-HSA-392499,SNV,layer_4,1.1834747
R-HSA-418346,SNV,layer_3,1.1834747,R-HSA-1474244,SNV,layer_4,1.1834747
R-HSA-418346,SNV,layer_3,1.1834747,R-HSA-162582,SNV,layer_4,1.1834747
R-HSA-418346,SNV,layer_3,1.1834747,R-HSA-112316,SNV,layer_4,1.1834747
R-HSA-622312,mrna,layer_1,1.1818775,R-HSA-8853383,mrna,layer_2,1.1818775
