id,name,layer,omics,importance
mrna_layer_1_11,R-HSA-162699,layer_1,mrna,3.3368754
mrna_layer_2_132,R-HSA-2892247,layer_2,mrna,2.3676603
mrna_layer_1_116,R-HSA-9603798,layer_1,mrna,2.1277492
mrna_layer_3_51,R-HSA-8949215,layer_3,mrna,1.575412
mrna_layer_1_230,R-HSA-198323,layer_1,mrna,1.4342505
mrna_layer_2_7,R-HSA-9832991,layer_2,mrna,1.3774551
mrna_layer_2_70,R-HSA-163765,layer_2,mrna,1.3654375
mrna_layer_1_409,R-HSA-1855183,layer_1,mrna,1.2809865
mrna_layer_1_59,R-HSA-622312,layer_1,mrna,1.1818775
mrna_layer_1_220,R-HSA-933541,layer_1,mrna,1.1621664
mrna_layer_1_233,R-HSA-6807070,layer_1,mrna,1.1542865
mrna_layer_1_229,R-HSA-9821002,layer_1,mrna,1.1418636
mrna_layer_1_619,R-HSA-8876725,layer_1,mrna,1.1113381
mrna_layer_1_411,R-HSA-68962,layer_1,mrna,1.1042831
mrna_layer_2_231,R-HSA-8853383,layer_2,mrna,1.1038301
mrna_layer_4_8,R-HSA-1640170,layer_4,mrna,1.0024203
mrna_input_8774,TALDO1,input,mrna,0.8955433
mrna_input_973,CA12,input,mrna,0.8830236
mrna_input_4475,KRT78,input,mrna,0.87917686
mrna_input_3622,HIC1,input,mrna,0.8744218
mrna_input_265,AKR1C1,input,mrna,0.8739628
mrna_input_7913,SERPINB3,input,mrna,0.8730733
mrna_input_3456,GTF2H2,input,mrna,0.86798596
mrna_input_787,BAIAP2L2,input,mrna,0.86657506
mrna_input_1309,CDKN2A,input,mrna,0.8646826
mrna_input_1968,CYP4F3,input,mrna,0.86158043
mrna_layer_2_125,R-HSA-5610787,layer_2,mrna,0.84003025
mrna_layer_2_37,R-HSA-5619102,layer_2,mrna,0.7437031
mrna_layer_2_202,R-HSA-8979227,layer_2,mrna,0.70806897
mrna_layer_3_87,R-HSA-9758941,layer_3,mrna,0.69819427
mrna_layer_2_147,R-HSA-112313,layer_2,mrna,0.69347525
mrna_layer_2_233,R-HSA-9033658,layer_2,mrna,0.6778494
mrna_layer_3_79,R-HSA-5619507,layer_3,mrna,0.670486
mrna_layer_3_17,R-HSA-75072,layer_3,mrna,0.6230577
mrna_layer_3_80,R-HSA-5682910,layer_3,mrna,0.62016845
mrna_layer_3_59,R-HSA-69278,layer_3,mrna,0.61959845
mrna_layer_2_130,R-HSA-5682910,layer_2,mrna,0.58329314
mrna_layer_3_50,R-HSA-5223345,layer_3,mrna,0.36388147
mrna_layer_3_102,R-HSA-597592,layer_3,mrna,0.16209365
mrna_layer_3_28,R-HSA-75205,layer_3,mrna,0.1503007
mrna_layer_3_100,R-HSA-5676934,layer_3,mrna,0.1468942
mrna_layer_4_18,R-HSA-5653656,layer_4,mrna,0.09149903
mrna_layer_4_17,R-HSA-5357801,layer_4,mrna,0.06719565
mrna_layer_4_6,R-HSA-1500931,layer_4,mrna,0.042812493
mrna_layer_4_24,R-HSA-8963743,layer_4,mrna,0.019625762
mrna_layer_4_15,R-HSA-400253,layer_4,mrna,0.008916438
mrna_layer_4_0,R-HSA-109582,layer_4,mrna,0.008052447
mrna_layer_4_26,R-HSA-9612973,layer_4,mrna,0.004363414
mrna_layer_4_2,R-HSA-1266738,layer_4,mrna,0.0033482308
mrna_layer_4_10,R-HSA-168256,layer_4,mrna,0.0032891082
