Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-8853383,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-5610787,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-112313,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-5619102,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-8979227,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-5682910,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-163765,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-9033658,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-2892247,mrna,layer_2,3.3368754
R-HSA-162699,mrna,layer_1,3.3368754,R-HSA-9832991,mrna,layer_2,3.3368754
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-75205,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-9758941,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-5676934,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-5619507,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-8949215,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-5223345,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-5682910,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-69278,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-597592,mrna,layer_3,2.3676603
R-HSA-2892247,mrna,layer_2,2.3676603,R-HSA-75072,mrna,layer_3,2.3676603
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-5610787,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-5682910,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-163765,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-9832991,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-2892247,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-8853383,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-8979227,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-112313,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-9033658,mrna,layer_2,2.1277492
R-HSA-9603798,mrna,layer_1,2.1277492,R-HSA-5619102,mrna,layer_2,2.1277492
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-400253,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-109582,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-8963743,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-168256,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-5357801,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-1500931,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-1266738,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-9612973,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-1640170,mrna,layer_4,1.575412
R-HSA-8949215,mrna,layer_3,1.575412,R-HSA-5653656,mrna,layer_4,1.575412
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-5610787,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-5619102,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-8979227,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-112313,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-163765,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-8853383,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-2892247,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-9832991,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-5682910,mrna,layer_2,1.4342505
R-HSA-198323,mrna,layer_1,1.4342505,R-HSA-9033658,mrna,layer_2,1.4342505
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-5619507,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-75072,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-5682910,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-69278,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-8949215,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-9758941,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-5223345,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-597592,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-75205,mrna,layer_3,1.3774551
R-HSA-9832991,mrna,layer_2,1.3774551,R-HSA-5676934,mrna,layer_3,1.3774551
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-5619507,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-75072,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-8949215,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-9758941,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-5676934,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-75205,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-5682910,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-69278,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-597592,mrna,layer_3,1.3654375
R-HSA-163765,mrna,layer_2,1.3654375,R-HSA-5223345,mrna,layer_3,1.3654375
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-5619102,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-5610787,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-2892247,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-9832991,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-8853383,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-163765,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-5682910,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-9033658,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-112313,mrna,layer_2,1.2809865
R-HSA-1855183,mrna,layer_1,1.2809865,R-HSA-8979227,mrna,layer_2,1.2809865
R-HSA-622312,mrna,layer_1,1.1818775,R-HSA-5610787,mrna,layer_2,1.1818775
