Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Protein repair,CNV,layer_1,3.3116498,Threonine catabolism,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Azathioprine ADME,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Transcriptional regulation of brown and beige adipocyte differentiation,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,TCR signaling,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Class I MHC mediated antigen processing & presentation,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Neurotransmitter release cycle,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Branched-chain amino acid catabolism,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Specification of the neural plate border,CNV,layer_2,3.3116498
Heme signaling,CNV,layer_1,2.550514,Threonine catabolism,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Azathioprine ADME,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Transcriptional regulation of brown and beige adipocyte differentiation,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,TCR signaling,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Branched-chain amino acid catabolism,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Neurotransmitter release cycle,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Class I MHC mediated antigen processing & presentation,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Specification of the neural plate border,CNV,layer_2,2.550514
