Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Protein repair,SNV,layer_1,7.898846,Protein repair,SNV,layer_2,7.898846
Protein repair,SNV,layer_1,7.898846,AMPK inhibits chREBP transcriptional activation activity,SNV,layer_2,7.898846
Protein repair,SNV,layer_1,7.898846,ChREBP activates metabolic gene expression,SNV,layer_2,7.898846
Protein repair,SNV,layer_1,7.898846,Chromatin modifications during the maternal to zygotic transition (MZT),SNV,layer_2,7.898846
Protein repair,SNV,layer_1,7.898846,Zygotic genome activation (ZGA),SNV,layer_2,7.898846
Protein repair,SNV,layer_2,7.472781,Metabolism of nitric oxide: NOS3 activation and regulation,SNV,layer_3,7.472781
Protein repair,SNV,layer_2,7.472781,Platelet homeostasis,SNV,layer_3,7.472781
Protein repair,SNV,layer_2,7.472781,Activation of HOX genes during differentiation,SNV,layer_3,7.472781
Protein repair,SNV,layer_2,7.472781,Transcriptional regulation of granulopoiesis,SNV,layer_3,7.472781
Protein repair,SNV,layer_2,7.472781,Metabolism of vitamins and cofactors,SNV,layer_3,7.472781
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Lysosomal oligosaccharide catabolism,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Formation of the posterior neural plate,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,ChREBP activates metabolic gene expression,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Hedgehog 'off' state,mrna,layer_2,3.3368754
Protein repair,CNV,layer_1,3.3116498,Threonine catabolism,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Specification of the neural plate border,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Class I MHC mediated antigen processing & presentation,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,3.3116498
Protein repair,CNV,layer_1,3.3116498,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,3.3116498
Heme signaling,CNV,layer_1,2.550514,Threonine catabolism,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Specification of the neural plate border,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Class I MHC mediated antigen processing & presentation,CNV,layer_2,2.550514
Heme signaling,CNV,layer_1,2.550514,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,2.550514
Synthesis of dolichyl-phosphate mannose,CNV,layer_1,2.4231083,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,2.4231083
Synthesis of dolichyl-phosphate mannose,CNV,layer_1,2.4231083,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,2.4231083
Synthesis of dolichyl-phosphate mannose,CNV,layer_1,2.4231083,Class I MHC mediated antigen processing & presentation,CNV,layer_2,2.4231083
Synthesis of dolichyl-phosphate mannose,CNV,layer_1,2.4231083,Specification of the neural plate border,CNV,layer_2,2.4231083
Synthesis of dolichyl-phosphate mannose,CNV,layer_1,2.4231083,Threonine catabolism,CNV,layer_2,2.4231083
Estrogen-dependent gene expression,CNV,layer_1,2.4121141,Class I MHC mediated antigen processing & presentation,CNV,layer_2,2.4121141
Estrogen-dependent gene expression,CNV,layer_1,2.4121141,Specification of the neural plate border,CNV,layer_2,2.4121141
Estrogen-dependent gene expression,CNV,layer_1,2.4121141,Threonine catabolism,CNV,layer_2,2.4121141
Estrogen-dependent gene expression,CNV,layer_1,2.4121141,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,2.4121141
Estrogen-dependent gene expression,CNV,layer_1,2.4121141,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,2.4121141
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,LGI-ADAM interactions,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Mitochondrial calcium ion transport,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Gastrulation,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Activation of HOX genes during differentiation,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,mRNA Editing,mrna,layer_3,2.3676603
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Formation of the posterior neural plate,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Hedgehog 'off' state,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Lysosomal oligosaccharide catabolism,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,ChREBP activates metabolic gene expression,mrna,layer_2,2.1277492
Zygotic genome activation (ZGA),SNV,layer_2,2.041478,Metabolism of nitric oxide: NOS3 activation and regulation,SNV,layer_3,2.041478
Zygotic genome activation (ZGA),SNV,layer_2,2.041478,Transcriptional regulation of granulopoiesis,SNV,layer_3,2.041478
Zygotic genome activation (ZGA),SNV,layer_2,2.041478,Platelet homeostasis,SNV,layer_3,2.041478
Zygotic genome activation (ZGA),SNV,layer_2,2.041478,Metabolism of vitamins and cofactors,SNV,layer_3,2.041478
Zygotic genome activation (ZGA),SNV,layer_2,2.041478,Activation of HOX genes during differentiation,SNV,layer_3,2.041478
NCAM signaling for neurite out-growth,SNV,layer_1,1.9070525,Zygotic genome activation (ZGA),SNV,layer_2,1.9070525
NCAM signaling for neurite out-growth,SNV,layer_1,1.9070525,Protein repair,SNV,layer_2,1.9070525
NCAM signaling for neurite out-growth,SNV,layer_1,1.9070525,AMPK inhibits chREBP transcriptional activation activity,SNV,layer_2,1.9070525
NCAM signaling for neurite out-growth,SNV,layer_1,1.9070525,Chromatin modifications during the maternal to zygotic transition (MZT),SNV,layer_2,1.9070525
NCAM signaling for neurite out-growth,SNV,layer_1,1.9070525,ChREBP activates metabolic gene expression,SNV,layer_2,1.9070525
Metabolism of nitric oxide: NOS3 activation and regulation,SNV,layer_3,1.9016198,Metabolism of proteins,SNV,layer_4,1.9016198
Metabolism of nitric oxide: NOS3 activation and regulation,SNV,layer_3,1.9016198,Muscle contraction,SNV,layer_4,1.9016198
Metabolism of nitric oxide: NOS3 activation and regulation,SNV,layer_3,1.9016198,Neuronal System,SNV,layer_4,1.9016198
Metabolism of nitric oxide: NOS3 activation and regulation,SNV,layer_3,1.9016198,Extracellular matrix organization,SNV,layer_4,1.9016198
Metabolism of nitric oxide: NOS3 activation and regulation,SNV,layer_3,1.9016198,Signal Transduction,SNV,layer_4,1.9016198
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,1.5934303,Collagen formation,CNV,layer_3,1.5934303
