Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Lysosomal oligosaccharide catabolism,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Hedgehog 'off' state,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Neurotransmitter uptake and metabolism In glial cells,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,SLC transporter disorders,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Triglyceride metabolism,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,LGI-ADAM interactions,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,ChREBP activates metabolic gene expression,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Blood group systems biosynthesis,mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,3.3368754
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,3.3368754,Formation of the posterior neural plate,mrna,layer_2,3.3368754
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Dissolution of Fibrin Clot,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Gastrulation,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Protein repair,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Activation of HOX genes during differentiation,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Mitochondrial calcium ion transport,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Miscellaneous transport and binding events,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,LGI-ADAM interactions,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,"Cell Cycle, Mitotic",mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,Post-translational protein modification,mrna,layer_3,2.3676603
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.3676603,mRNA Editing,mrna,layer_3,2.3676603
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Hedgehog 'off' state,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,LGI-ADAM interactions,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,ChREBP activates metabolic gene expression,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Formation of the posterior neural plate,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Lysosomal oligosaccharide catabolism,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Triglyceride metabolism,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Neurotransmitter uptake and metabolism In glial cells,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,Blood group systems biosynthesis,mrna,layer_2,2.1277492
Class I peroxisomal membrane protein import,mrna,layer_1,2.1277492,SLC transporter disorders,mrna,layer_2,2.1277492
