omics,layer,node_index,importance,mapped_name,overall_position
SNV,input,0,0.27971843,A2M,
SNV,input,1,0.076634295,AAAS,
SNV,input,2,0.23094356,ABCA1,
SNV,input,3,0.40604478,ABCA12,
SNV,input,4,0.5001244,ABCA13,
SNV,input,5,0.22047192,ABCA2,
SNV,input,6,0.1358356,ABCA3,
SNV,input,7,0.29154542,ABCA5,
SNV,input,8,0.3014198,ABCA6,
SNV,input,9,0.2682729,ABCA7,
SNV,input,10,0.30316663,ABCA9,
SNV,input,11,0.23706649,ABCB4,
SNV,input,12,0.11888312,ABCB6,
SNV,input,13,0.22205015,ABCB7,
SNV,input,14,0.1948361,ABCB8,
SNV,input,15,0.17645653,ABCC2,
SNV,input,16,0.19585165,ABCC3,
SNV,input,17,0.9666382,ABCC4,
SNV,input,18,0.2461517,ABCC5,
SNV,input,19,0.90681696,ABCC9,
SNV,input,20,0.042153366,ABCD1,
SNV,input,21,0.23387243,ABCD2,
SNV,input,22,0.112742774,ABCD3,
SNV,input,23,0.11911024,ABCD4,
SNV,input,24,0.09328363,ABCE1,
SNV,input,25,0.17086293,ABCF2,
SNV,input,26,0.13161394,ABCG1,
SNV,input,27,0.5469293,ABCG2,
SNV,input,28,0.24412498,ABCG4,
SNV,input,29,0.24235709,ABCG5,
SNV,input,30,0.21308872,ABCG8,
SNV,input,31,0.13161394,ABHD17B,
SNV,input,32,0.042153366,ABHD4,
SNV,input,33,0.042413764,ABI1,
SNV,input,34,0.09328363,ABI2,
SNV,input,35,0.16341414,ABL1,
SNV,input,36,0.27014187,ABL2,
SNV,input,37,0.15245327,ABLIM2,
SNV,input,38,0.25097466,ABLIM3,
SNV,input,39,0.1315306,ABR,
SNV,input,40,0.28204572,ACACB,
SNV,input,41,0.1403575,ACAD10,
SNV,input,42,0.18369187,ACAD11,
SNV,input,43,0.10985204,ACADL,
SNV,input,44,0.20095745,ACADM,
SNV,input,45,0.042153366,ACADS,
SNV,input,46,0.6469075,ACADSB,
SNV,input,47,0.042153366,ACADVL,
SNV,input,48,0.08398323,ACAT1,
SNV,input,49,0.13598312,ACBD4,
SNV,input,50,0.14400838,ACBD5,
SNV,input,51,0.042153366,ACBD6,
SNV,input,52,0.159264,ACE2,
SNV,input,53,0.18656793,ACER2,
SNV,input,54,0.108298816,ACER3,
SNV,input,55,0.1188831,ACHE,
SNV,input,56,0.15926401,ACKR2,
SNV,input,57,0.18785694,ACKR3,
SNV,input,58,0.07331389,ACKR4,
SNV,input,59,0.042153366,ACLY,
SNV,input,60,0.09294323,ACMSD,
SNV,input,61,0.13277474,ACO2,
SNV,input,62,0.076634295,ACOT1,
SNV,input,63,0.08398322,ACOT11,
SNV,input,64,0.2018488,ACOT12,
SNV,input,65,0.042153366,ACOT13,
SNV,input,66,0.076634295,ACOT2,
SNV,input,67,0.1702628,ACOT4,
SNV,input,68,0.118735574,ACOT7,
SNV,input,69,0.07314369,ACOT9,
SNV,input,70,0.1358356,ACOX1,
SNV,input,71,0.15245329,ACOX2,
SNV,input,72,0.17978728,ACOX3,
SNV,input,73,0.18617173,ACOXL,
SNV,input,74,0.21493852,ACP3,
SNV,input,75,0.07348409,ACP6,
SNV,input,76,0.09294324,ACSBG2,
SNV,input,77,0.042153366,ACSF2,
SNV,input,78,0.16352595,ACSF3,
SNV,input,79,0.22205015,ACSL1,
SNV,input,80,0.1188831,ACSL3,
SNV,input,81,0.11764522,ACSL4,
SNV,input,82,0.132983,ACSL5,
SNV,input,83,2.0417564,ACSL6,
SNV,input,84,0.27496263,ACSM2A,
SNV,input,85,0.31248227,ACSM2B,
SNV,input,86,0.13254233,ACSM3,
SNV,input,87,0.10178309,ACSM4,
SNV,input,88,0.2535276,ACSM5,
SNV,input,89,0.08398323,ACSM6,
SNV,input,90,0.0598759,ACSS2,
SNV,input,91,0.20550631,ACSS3,
SNV,input,92,0.1558704,ACTB,
SNV,input,93,0.2218172,ACTC1,
SNV,input,94,0.20119882,ACTG1,
SNV,input,95,0.17235003,ACTG2,
SNV,input,96,0.15579835,ACTL6A,
SNV,input,97,0.11772858,ACTL6B,
SNV,input,98,0.14401668,ACTN1,
SNV,input,99,0.39456263,ACTN2,
SNV,input,100,0.15596683,ACTN3,
SNV,input,101,1.5721635,ACTN4,
SNV,input,102,0.042153366,ACTR10,
SNV,input,103,0.11274278,ACTR1A,
SNV,input,104,0.1327747,ACTR1B,
SNV,input,105,0.0598759,ACTR2,
SNV,input,106,0.08398322,ACTR3,
SNV,input,107,0.09294324,ACTR5,
SNV,input,108,0.11274278,ACTR8,
SNV,input,109,0.16120937,ACVR1C,
SNV,input,110,0.22787012,ACVR2A,
