omics,layer,node_index,importance,mapped_name,overall_position
SNV,input,0,0.28648067,A2M,
SNV,input,1,0.10495103,AAAS,
SNV,input,2,0.33212996,ABCA1,
SNV,input,3,0.5063963,ABCA12,
SNV,input,4,0.4874797,ABCA13,
SNV,input,5,0.16650707,ABCA2,
SNV,input,6,0.17931834,ABCA3,
SNV,input,7,0.50301725,ABCA5,
SNV,input,8,0.30470902,ABCA6,
SNV,input,9,0.112293206,ABCA7,
SNV,input,10,0.3597199,ABCA9,
SNV,input,11,0.24731386,ABCB4,
SNV,input,12,0.12999701,ABCB6,
SNV,input,13,0.21097648,ABCB7,
SNV,input,14,0.14789107,ABCB8,
SNV,input,15,0.26193696,ABCC2,
SNV,input,16,0.17931837,ABCC3,
SNV,input,17,0.17542443,ABCC4,
SNV,input,18,0.23132092,ABCC5,
SNV,input,19,0.33715582,ABCC9,
SNV,input,20,0.16647036,ABCD1,
SNV,input,21,0.324371,ABCD2,
SNV,input,22,0.14373864,ABCD3,
SNV,input,23,0.08807693,ABCD4,
SNV,input,24,0.104619764,ABCE1,
SNV,input,25,0.17105392,ABCF2,
SNV,input,26,0.06027806,ABCG1,
SNV,input,27,0.21101715,ABCG2,
SNV,input,28,0.22821417,ABCG4,
SNV,input,29,0.112293206,ABCG5,
SNV,input,30,0.29946244,ABCG8,
SNV,input,31,0.08762651,ABHD17B,
SNV,input,32,0.08807693,ABHD4,
SNV,input,33,0.04226556,ABHD6,
SNV,input,34,0.08809412,ABI1,
SNV,input,35,0.059827644,ABI2,
SNV,input,36,0.17931837,ABL1,
SNV,input,37,0.2245256,ABL2,
SNV,input,38,0.11542537,ABLIM2,
SNV,input,39,0.18570557,ABLIM3,
SNV,input,40,0.14200163,ABR,
SNV,input,41,0.04226556,ACAA1,
SNV,input,42,0.34500375,ACACB,
SNV,input,43,0.18865518,ACAD10,
SNV,input,44,0.14716224,ACAD11,
SNV,input,45,0.0959758,ACADL,
SNV,input,46,0.16459674,ACADM,
SNV,input,47,0.09633688,ACADS,
SNV,input,48,0.081688344,ACADVL,
SNV,input,49,0.11861031,ACAT1,
SNV,input,50,0.11542538,ACBD4,
SNV,input,51,0.9578717,ACBD5,
SNV,input,52,0.04226556,ACBD6,
SNV,input,53,0.081688344,ACBD7,
SNV,input,54,0.16179259,ACE2,
SNV,input,55,0.14124481,ACER2,
SNV,input,56,0.04226556,ACER3,
SNV,input,57,0.14716223,ACHE,
SNV,input,58,0.14743154,ACKR2,
SNV,input,59,0.11542537,ACKR3,
SNV,input,60,0.11861029,ACKR4,
SNV,input,61,0.12972772,ACLY,
SNV,input,62,0.14716224,ACMSD,
SNV,input,63,0.11861029,ACO2,
SNV,input,64,0.124167025,ACOT11,
SNV,input,65,0.115892984,ACOT12,
SNV,input,66,0.16328591,ACOT2,
SNV,input,67,0.08762651,ACOT4,
SNV,input,68,0.7513898,ACOT7,
SNV,input,69,0.14745879,ACOT8,
SNV,input,70,0.04226556,ACOT9,
SNV,input,71,0.16132236,ACOX1,
SNV,input,72,0.115892984,ACOX2,
SNV,input,73,0.15186186,ACOX3,
SNV,input,74,0.12999701,ACOXL,
SNV,input,75,0.104619764,ACP3,
SNV,input,76,0.6832817,ACP6,
SNV,input,77,0.059827644,ACSBG2,
SNV,input,78,0.12386011,ACSF2,
SNV,input,79,0.14371428,ACSF3,
SNV,input,80,0.11861029,ACSL1,
SNV,input,81,0.13653325,ACSL3,
SNV,input,82,0.11542538,ACSL5,
SNV,input,83,0.22821417,ACSL6,
SNV,input,84,0.2974936,ACSM2A,
SNV,input,85,0.3093311,ACSM2B,
SNV,input,86,0.23200665,ACSM3,
SNV,input,87,0.26225343,ACSM4,
SNV,input,88,0.21121821,ACSM5,
SNV,input,89,0.14369185,ACSM6,
SNV,input,90,0.11542537,ACSS2,
SNV,input,91,0.34119156,ACSS3,
SNV,input,92,0.13575019,ACTB,
SNV,input,93,0.51096606,ACTC1,
SNV,input,94,0.1193746,ACTG1,
SNV,input,95,0.22839946,ACTG2,
SNV,input,96,0.12386011,ACTL6A,
SNV,input,97,0.18885574,ACTL6B,
SNV,input,98,0.14373864,ACTN1,
SNV,input,99,0.24081829,ACTN2,
SNV,input,100,0.12972772,ACTN3,
SNV,input,101,0.23392546,ACTN4,
SNV,input,102,0.14373864,ACTR10,
SNV,input,103,0.081688344,ACTR1A,
SNV,input,104,0.0959758,ACTR1B,
SNV,input,105,0.059827644,ACTR2,
SNV,input,106,0.14716223,ACTR3,
SNV,input,107,0.1302936,ACTR5,
SNV,input,108,0.14369184,ACTR8,
SNV,input,109,0.19942178,ACVR1C,
SNV,input,110,0.12972772,ACVR2A,
SNV,input,111,0.059827644,ACVR2B,
SNV,input,112,0.17976211,ACVRL1,
SNV,input,113,0.11861029,ACY3,
SNV,input,114,0.09633688,ADAL,
SNV,input,115,0.1857056,ADAM10,
SNV,input,116,0.12756874,ADAM15,
SNV,input,117,0.11258977,ADAM17,
SNV,input,118,0.2470971,ADAM19,
SNV,input,119,0.1710539,ADAM20,
SNV,input,120,0.25022528,ADAM21,
SNV,input,121,0.3148839,ADAM22,
SNV,input,122,0.22654194,ADAM23,
SNV,input,123,0.12386011,ADAM30,
SNV,input,124,0.1998239,ADAM33,
SNV,input,125,0.04226556,ADAM8,
SNV,input,126,0.19962285,ADAM9,
SNV,input,127,0.23392546,ADAMTS10,
SNV,input,128,1.0040811,ADAMTS12,
